clusterID,majorIdent,Cibersort,Heatmap,Granulocyte_lin,Lymphoid_lin,Monocyte_lin,Erythroid_lin,minorIdent
0,Granulocyte,include,Include,include,exclude,exclude,exclude,Pre_neutrophil_2
1,Granulocyte,include,Include,include,exclude,exclude,exclude,Neutrophil
2,Granulocyte,include,Include,include,exclude,exclude,exclude,Pre_neutrophil_1
3,Granulocyte,include,Include,include,exclude,exclude,exclude,GMP
4,Granulocyte,include,Include,include,exclude,exclude,exclude,GP_2
5,Granulocyte,exclude,Include,exclude,exclude,exclude,exclude,Granulocyte_2
6,Granulocyte,exclude,Include,include,exclude,exclude,exclude,Cycling_Gran_1
7,Lymphoid,include,Include,exclude,include,exclude,exclude,Pre_B_cell
8,Histocytic,include,Include,exclude,exclude,include,exclude,Monocyte_1
9,Granulocyte,exclude,Include,exclude,exclude,exclude,exclude,Granulocyte_1
10,Granulocyte,exclude,Include,exclude,exclude,exclude,exclude,Granulocyte_3
11,Erythroid,include,Include,exclude,exclude,exclude,include,Early_Erythroid
12,Histocytic,include,Include,exclude,exclude,include,exclude,MP
13,Lymphoid,include,Include,exclude,include,exclude,exclude,Immature_B_cell
14,Misc.,include,exclude,exclude,exclude,exclude,exclude,T_cells
15,Granulocyte,include,Include,include,exclude,exclude,exclude,GP_1
16,Lymphoid,include,Include,exclude,include,exclude,exclude,Pro_B_cell
17,Misc.,include,exclude,exclude,exclude,exclude,exclude,Macrophage
18,Misc.,include,exclude,exclude,exclude,exclude,exclude,Plasma_Cell
19,Histocytic,include,Include,exclude,exclude,include,exclude,Monocyte_2
20,Misc.,exclude,include,exclude,exclude,exclude,include,UNKWN
21,HSPC,exclude,Include,exclude,exclude,exclude,exclude,HSPC
22,Misc.,exclude,exclude,exclude,exclude,exclude,exclude,Poor-quality
23,Histocytic,include,Include,exclude,exclude,include,exclude,DC_precursor
24,Granulocyte,exclude,Include,include,exclude,exclude,exclude,Cycling_Gran_2
25,Granulocyte,include,Include,exclude,exclude,exclude,exclude,Eosinophil
26,Lymphoid,exclude,exclude,exclude,include,exclude,exclude,MLP-CLP-like
27,Erythroid,include,Include,exclude,exclude,exclude,include,MEP-like
